file_path,split,Emotion,duration,Utterance,speaker_id,dataset_name,dataset_dir,unique_utterance
1001_DFA_ANG_XX.wav,train,anger,2.276,Don't forget a jacket,1001.0,CREMA_D,../../../../../datasets/public/CREMA_D,False
1001_DFA_DIS_XX.wav,train,disgust,2.336,Don't forget a jacket,1001.0,CREMA_D,../../../../../datasets/public/CREMA_D,False
1001_DFA_FEA_XX.wav,train,fear,2.169,Don't forget a jacket,1001.0,CREMA_D,../../../../../datasets/public/CREMA_D,False
1001_DFA_HAP_XX.wav,train,happiness,1.869,Don't forget a jacket,1001.0,CREMA_D,../../../../../datasets/public/CREMA_D,False
1001_DFA_NEU_XX.wav,train,neutral,2.035,Don't forget a jacket,1001.0,CREMA_D,../../../../../datasets/public/CREMA_D,False
1001_DFA_SAD_XX.wav,train,sadness,2.002,Don't forget a jacket,1001.0,CREMA_D,../../../../../datasets/public/CREMA_D,False
1001_IEO_ANG_HI.wav,train,anger,1.935,It's eleven o'clock,1001.0,CREMA_D,../../../../../datasets/public/CREMA_D,False
1001_IEO_ANG_LO.wav,train,anger,2.069,It's eleven o'clock,1001.0,CREMA_D,../../../../../datasets/public/CREMA_D,False
1001_IEO_ANG_MD.wav,train,anger,2.636,It's eleven o'clock,1001.0,CREMA_D,../../../../../datasets/public/CREMA_D,False
1001_IEO_DIS_HI.wav,train,disgust,2.002,It's eleven o'clock,1001.0,CREMA_D,../../../../../datasets/public/CREMA_D,False
1001_IEO_DIS_LO.wav,train,disgust,2.002,It's eleven o'clock,1001.0,CREMA_D,../../../../../datasets/public/CREMA_D,False
1001_IEO_DIS_MD.wav,train,disgust,1.902,It's eleven o'clock,1001.0,CREMA_D,../../../../../datasets/public/CREMA_D,False
1001_IEO_FEA_HI.wav,train,fear,1.568,It's eleven o'clock,1001.0,CREMA_D,../../../../../datasets/public/CREMA_D,False
1001_IEO_FEA_LO.wav,train,fear,1.535,It's eleven o'clock,1001.0,CREMA_D,../../../../../datasets/public/CREMA_D,False
1001_IEO_FEA_MD.wav,train,fear,1.602,It's eleven o'clock,1001.0,CREMA_D,../../../../../datasets/public/CREMA_D,False
1001_IEO_HAP_HI.wav,train,happiness,1.768,It's eleven o'clock,1001.0,CREMA_D,../../../../../datasets/public/CREMA_D,False
1001_IEO_HAP_LO.wav,train,happiness,1.702,It's eleven o'clock,1001.0,CREMA_D,../../../../../datasets/public/CREMA_D,False
1001_IEO_HAP_MD.wav,train,happiness,1.668,It's eleven o'clock,1001.0,CREMA_D,../../../../../datasets/public/CREMA_D,False
1001_IEO_NEU_XX.wav,train,neutral,1.602,It's eleven o'clock,1001.0,CREMA_D,../../../../../datasets/public/CREMA_D,False
1001_IEO_SAD_HI.wav,train,sadness,2.002,It's eleven o'clock,1001.0,CREMA_D,../../../../../datasets/public/CREMA_D,False
1001_IEO_SAD_LO.wav,train,sadness,1.902,It's eleven o'clock,1001.0,CREMA_D,../../../../../datasets/public/CREMA_D,False
1001_IEO_SAD_MD.wav,train,sadness,1.735,It's eleven o'clock,1001.0,CREMA_D,../../../../../datasets/public/CREMA_D,False
1001_IOM_ANG_XX.wav,train,anger,2.135,I'm on my way to the meeting,1001.0,CREMA_D,../../../../../datasets/public/CREMA_D,False
1001_IOM_DIS_XX.wav,train,disgust,2.269,I'm on my way to the meeting,1001.0,CREMA_D,../../../../../datasets/public/CREMA_D,False
1001_IOM_FEA_XX.wav,train,fear,2.836,I'm on my way to the meeting,1001.0,CREMA_D,../../../../../datasets/public/CREMA_D,False
1001_IOM_HAP_XX.wav,train,happiness,2.002,I'm on my way to the meeting,1001.0,CREMA_D,../../../../../datasets/public/CREMA_D,False
1001_IOM_NEU_XX.wav,train,neutral,2.469,I'm on my way to the meeting,1001.0,CREMA_D,../../../../../datasets/public/CREMA_D,False
1001_IOM_SAD_XX.wav,train,sadness,1.935,I'm on my way to the meeting,1001.0,CREMA_D,../../../../../datasets/public/CREMA_D,False
1001_ITH_ANG_XX.wav,train,anger,2.369,I think I have a doctor's appointment,1001.0,CREMA_D,../../../../../datasets/public/CREMA_D,False
1001_ITH_DIS_XX.wav,train,disgust,2.169,I think I have a doctor's appointment,1001.0,CREMA_D,../../../../../datasets/public/CREMA_D,False
1001_ITH_FEA_XX.wav,train,fear,2.102,I think I have a doctor's appointment,1001.0,CREMA_D,../../../../../datasets/public/CREMA_D,False
1001_ITH_HAP_XX.wav,train,happiness,2.469,I think I have a doctor's appointment,1001.0,CREMA_D,../../../../../datasets/public/CREMA_D,False
1001_ITH_NEU_XX.wav,train,neutral,2.603,I think I have a doctor's appointment,1001.0,CREMA_D,../../../../../datasets/public/CREMA_D,False
1001_ITH_SAD_XX.wav,train,sadness,2.369,I think I have a doctor's appointment,1001.0,CREMA_D,../../../../../datasets/public/CREMA_D,False
1001_ITS_ANG_XX.wav,train,anger,2.569,I think I've seen this before,1001.0,CREMA_D,../../../../../datasets/public/CREMA_D,False
1001_ITS_DIS_XX.wav,train,disgust,2.202,I think I've seen this before,1001.0,CREMA_D,../../../../../datasets/public/CREMA_D,False
